patent_abstract,patent_date,patent_number,patent_title
"A game ball for use in playing such games as baseball or softball comprises a spherical core made of PVC foam, a core cover of an ethylene copolymer, the core cover having a corrugated or rough surface, yarn windings and an outer leather cover, the ball having lower production cost and good durability in addition to essentially the same playing characteristics as conventional balls.",1983-01-11,4367873,Game ball
"A ball for use in an indoor or outdoor baseball-type game played by a small number of players in a playing field of limited size. The ball is pitched by a defensive player to an offensive player who tries to strike the ball with an elongated bat. The ball weighs less than 2 ounces and is made of a resilient, low mass material of generally spherical configuration with an outside diameter of at least 2 inches, and having a plurality of interconnecting concave indentations thereon. The width of each of the indentations is at least 1/8 inch. The bat contains a longitudinal bore in the ball striking end thereof, and the dimensions of the bore and the ball are such that when the end of the bat is pressed against the ball, the ball is forced into the bore and retained therein until removed by a player.",1985-06-11,4522396,Game ball
"A game ball and method for making the ball. The game ball is for use as a conventional, standard baseball or softball having the desired size, rebound and sound when hit. The ball includes a conventional preformed core of cork or the like, and a plastic shell covering the preformed core in lieu of the conventional windings. The conventional leather cover is received over the shell to complete the ball. The shell may be molded of 100% ionomer resin, or ethylene vinyl acetate may be added up to 25% to reduce the rebound, the ionomer resin and EVA being mixed together before molding the shell. The thickness of the shell is at least one-sixteenth inch to provide the desired rebound, and the shell is spherical with a diameter such that the covered ball will have the standard diameter. A liquid anti-bonding agent may cover the preformed core between the core and the shell, the anti-bonding agent being sodium oleate, silicone or urethane.",1985-07-16,4529200,Game ball
""" A baseball or softball having a size, weight, sound and rebound in accordance with standards set for the game. The ball is formed of a spherical plastic shell covered with a conventional sewn cover. The plastic shell is a thermoplastic consisting of a mixture of """"Surlyn"""" ionomer with about 50% ethylene vinyl acetate. The proportions are variable to achieve the desired characteristics, the """"Surlyn"""" providing strength and sound while the EVA provides softness and ease of thermo-welding. The shell is made by injection molding hemispheres and thermally welding two hemispheres together. As an alternative, the shell can be formed with a hole, and liquid components of an expanded plastic placed into the shell and expanded to fill the shell. The shell still provides all characteristics desired, and the expanded plastic is for weight only. """,1986-02-04,4568083,Game ball
"A ball, such as a baseball or softball, which includes a thermoplastic resin center, an outer winding and a two-piece cover is disclosed. The core comprises at least 45% of a partially blown copolymer of at least one olefin with at least one unsaturated monocarboxylic acid which is wrapped with a suitable winding impregnated with a latex based adhesive which winding is heat fused to the outer surface of the thermoplastic resin center. The partially blown spherical center has a micro cellular structure wherein the cells increase in number and decrease in size radially outward from the center. The core, consisting of the thermoplastic resin center and winding which is heat fused thereto, is covered with a two-piece stitched cover. The process for making the described ball is also disclosed.",1986-02-25,4572507,Game ball
""" A baseball or softball having a size, weight, sound and rebound in accordance with standards set for the game. The ball is formed of a spherical plastic shell covered with a conventional sewn cover. The plastic shell is a thermoplastic consisting of a mixture of """"Surlyn"""" ionomer with about 50% ethylene vinyl acetate. The proportions are variable to achieve the desired characteristics, the """"Surlyn"""" providing strength and sound while the EVA provides softness and ease of thermo-welding. The shell is made by injection molding hemispheres and thermally welding two hemispheres together. As an alternative, the shell can be formed with a hole, and liquid components of an expanded plastic placed into the shell and expanded to fill the shell. The shell still provides all characteristics desired, and the expanded plastic is for weight only. """,1987-03-31,4653752,Game ball
A two-piece softball or baseball includes a molded core and a molded cover including simulated stitching having protrusions and indentations integral with the cover material. Stitch holes adjacent the simulated stitching extend through the cover to the spherical core to simulate the depth of the stitching holes in a standard stitched leather covered ball.,1988-03-08,4729566,Game ball
"A composite game ball used for playing baseball, softball, and the like has a core portion including a plurality of cloth pieces, and a bag enclosing the cloth pieces. The core portion is generally spherically shaped. A yarn is wound about the core portion and a thread is subsequently wound about the yarn-wound core portion. A layer of adhesive coats the thread-covered yarn-wound core portion to form a ball body. A cloth cover encases the ball body. The ball has the general appearance, size, shape, and characteristics of the game ball it replaces but is softer and does not travel as far when hit.",1989-03-28,4815737,Game ball
"A cover replicating the appearance, texture, and surface features of a regulation baseball enclosing a flexible, hollow, spherical core. The core is fabricated from a pair of substantially similar semispherical shells made of a homogeneous, waterproof composition and bonded one to another at the circumferential edges. The composition from which the core is formed includes by weight 30-40 percent styrene butadiene rubber, 16-20 percent natural rubber, 33-37 percent calcium carbonate, and 5-9 percent silica powder, as well as diphenyl guaniden, rubber cure accelerator, and traces of zinc oxide and sulfur. The outer diameter of the core is approximately 2.6-3.0 inches with a wall thicknesses in the range of approximately 0.08-0.16 inches. The core with the cover assembled thereon has a weight of approximately 2.5-3.5 ounces, less than that of a regulation baseball, and an outer diameter substantially equivalent thereto. The cover includes two pieces of synthetic leather secured at the edges with raised herringbone stitching in the pattern of a regulation baseball. Optionally, a layer of twine may be tightly wound in random fashion about the core and the outer cover may be adhered to the structure beneath it using an adhesive. Due to its flexibility and lighter weight in relation to a regulation baseball, the disclosed substitute baseball affords an enhanced margin or safety to young and inexperienced players.",1989-11-14,4880233,Game ball
"The present invention takes the WIFFLE.RTM. BALL baseball into the darkness and allows for the continued play, without need of any complicated or expensive lighting equipment or the like. The standard WIFFLE.RTM. BALL baseball design is retained, and instead of traditional white plastic, a translucent plastic material is employed in the construction of the ball. Inserted into the ball for night play is an activated chemiluminescent light stick, such as those manufactured by, or under license from, the American Cyanamid Company and sold under the trademark CYALUME.RTM.. The light stick used herein is an elongated flexible tubular member, joined at its ends with a connecting piece forming a circular light-ring. The light ring is readily inserted into the cavity of the translucent WIFFLE.RTM. BALL baseball and retained therein without the need of any special attachments or further modifications. Under field testing, the thus modified NITELITE WIFFLE.RTM. BALL baseball performed like a traditional white plastic WIFFLE.RTM. BALL baseball, and the light-ring provided ample visible light for about 4-6 hours.",1990-06-05,4930776,Game ball
""" Generally there is described herein a game ball having a core, a plurality of layers of plastic bubble film, a layer of yarn and finally a cover. The result is a soft, lightweight """"safe"""" ball, which feels and handles like a baseball. """,1991-04-16,5007639,Game ball
"A game board apparatus having multiple sets of playing space designators is disclosed. The playing space designators are adapted to be removably affixed to playing spaces of a playing board. Examples of sets would include professional baseball teams, computer and telecommunications firms, professional football teams, etc. When a set of designators is chosen, the players then affix individual designators to playing spaces on the playing board surface. Each playing space designator includes indicia representing one or more characteristics of the playing space designator.",1997-10-28,5681042,Game board apparatus
"A baseball game is provided which imitates reality more closely by reflecting player data in game characters. Data relating to good hitting courses and bad hitting courses for each batter are incorporated as batter parameters, and the selection of a good or bad course by the batter can be reflected in the result of a hit, by varying the size of a collision object, or the like, in accordance with the batter parameters.",2002-05-28,6394894,"Game device, collision determination method and information storing medium"
"Provided is a game device with strong entertainment value which realizes a sensory input operation (sign operations for a baseball game, or the like) while reducing the processing load. The game device includes instructing character display unit (31) for displaying the instructing character on a screen, selectable parts setting unit (32) for setting, as selectable parts, a plurality of predetermined areas of the instructing character, instruction storage unit for storing, in a storage device, associated information related to a selected order and an instruction; and a sign identification unit (36) for identifying an instruction corresponding to a selected order or a combination of the selectable parts based on the associated information when a plurality of selectable parts of the instructing character are selectively operated, and a game advancement unit (50) for advancing the game by reflecting the instruction identified by the sign.",2014-08-19,8808090,"Game device, game control method, program, recording medium and game management device"
"A baseball game is provided which imitates reality more closely by reflecting player data in game characters. Data relating to good hitting courses and bad hitting courses for each batter are incorporated as batter parameters, and the selection of a good or bad course by the batter can be reflected in the result of a hit, by varying the size of a collision object, or the like, in accordance with the batter parameters.",2005-03-22,6869363,"Game device, impact judgement method, and information storage medium"
"A game device which executes a baseball game where a batter character hits a ball object that is pitched by a pitcher character stores, for each batter character, first evaluation information showing an evaluation of battering power in each segment showing a region within a strike zone, and displays the region of the strike zone corresponding to respective segments after increasing transparency, as divergence from the first reference data of the first evaluation information increases, based on the first evaluation information of the batter character at bat.",2012-12-04,8323082,"Game device, recording medium and game control method"
"A game machine that enables the playing of an enjoyable ball game within a limited space, particularly a baseball-related game. This game machine comprises a target (10) on which is displayed wording such as &#8220;single base hit&#8221;, a ball supply section (20a), a home base (112a) for a right-handed batter and a home base (112b) for a left-handed batter provided in a batting area (110), and a batter's box (114) therebetween. This game machine uses a predetermined evaluation means to detect whether a ball (200) hit by a player (300) using a bat (210) has hit the target (10), and displays an evaluation result on an on-base status display section (60a) and a numerical value display section (60b).",2003-08-12,6605011,Game machine
"This invention relates to game machine apparatus having a display device and generating a special condition. In one embodiment, a game machine that varies the display content on a display device provided on a panel thereof, and generates a special condition advantageous to a player when a display result matches a predetermined condition, includes a display manager, a control device, and a special condition generating device. The display manager advances a special game and displays a successively-varying game while no pinball driven onto a panel of the game machine enters a special prize-winning port. The control device executes a one unit game from the current state of the proceeding game series and displays an execution result of the one unit game on the display device when a pinball driven onto the panel of the game machine enters the special prize-winning port. The special condition generating device generates a special condition advantageous to the player when the execution result of the one unit game meets a predetermined condition. In the above-described game machine, the control device may determine the execution result of the one unit game on the basis of a predetermined algorithm. In an alternate embodiment, the display manager displays on the display device a baseball scene viewed from behind a back net showing a pitcher who pitches at a fixed interval in a baseball field and a batter who lets a pitch go by, and also a current game status containing a strike count, a ball count, an out count, and a get-to-base condition of a runner. The control device determines one of a single-base hit, a two-base hit, a three-base hit, a home-run hit and an easy fly as the execution result of the one unit game when a pinball enters the special prize-winning port, and changes the display content to a scene depicting conditions after the batter bats a ball.",1999-06-22,5913515,Game machine with display device and special condition generation
""" A game of chance to be played in conjunction with a game of baseball comprising a card with rows of spaces, each row representing an inning of a baseball game. All spaces are masked so that marks printed therein are not visible. The mask on a first space in a row is removed to reveal a """"1"""", a """"2"""" or a """"3"""" indicating one of the three batters on one team certain to appear at bat in the inning represented. Each of a group of other spaces has a mark representing a way in which a batter may reach base safely. Only one of these spaces is unmasked to see if the batter in the baseball game indicated by the final space can match the performance indicated by the selected one of the group of second spaces. """,1984-02-07,4429877,Game of chance to be played in conjunction with a baseball game
"A novelty glass or the like made of glass or synthetic plastic wherein a representation or indicia of a sport figure in an action mode on or in the surface of the glass and wherein a bracket number is disposed in relation to the indicia representation to releasably hold a swizzle stick or the like which swizzle stick or the like is in the simulation of a member used in sports whether it be a baseball bat, tennis racket, or for example, ski pole, such that it appears that the swizzle stick is being actively held by the sport figure indicia or simulated representation, such that the swizzle stick is releasably held so that it may be conveniently in hand for use as a swizzle stick holder of olives, cherries or the like and for ease of association with the glass with which it is used after the swizzle stick has served its purpose.",1987-12-29,4715505,Glass having means for swizzle stick attachment
"An athletic glove apparatus for providing a non-slip grip and for providing padding and protection to the hand and the various areas of impact for use in different sports. A baseball glove apparatus comprises a glove and a bat wrap, the glove comprising a palm truss, a thumb truss a lower finger truss on each finger and a pad such that the bat wrap engages the truss members. A water sport glove comprises a glove and a ski handle, the glove comprising a palm truss, a thumb truss, a lower finger truss on each finger, an intermediate finger truss on each finger and an outer finger truss on the middle two fingers, the ski handle comprising a handle wrap that acts with the truss members to provide a secure, padded grip. A weight lifting glove comprising a glove and a wrap member, the glove comprising a palm truss, a lower finger truss on each finger, an intermediate finger truss on each finger and a palm pad, such that the wrap member actively engages the truss members for providing a non-slip, padded grip. A golf glove apparatus comprising a glove and a grip member, the glove comprising a palm truss and a lower finger truss on three fingers, such that the grip member actively engages the truss members to provide a non-slip, padded grip. A cycling glove apparatus comprising a glove and a handle bar wrap, the glove comprising a palm truss, an upper palm pad, a lower palm pad and a thumb pad, such that the handler bar wrap actively engages the truss member and the pad members for providing a padded, non-slip grip that is exceedingly easy to disengage.",1987-09-08,4691387,Glove apparatus
"A clip holder for supporting sports accessories such as gloves, and towels, for being attached to pockets and belts, for different types of sports such as but not limited to racquetball, handball, baseball, bowling, bicycling, football, and the like. The clip holder is compact with two plate like portions substantially parallel and adjacent to one another, with interior facing ridge and groove for allowing the clip holder to grip about pocket edges, belts and straps. The clip holder plates can have concave lower edges which face away from one another. A removable golf tool such as a tack shaped ball marker can attach to an exterior side of one of the plates. A built on tool such as a fork shaped divot repair tool can be fixably attached to or be part of one of the edges of the first and the second plates, and can be used with or without the removable golf tool. When not being used to support sports accessories, the compact clip holder can clip money bills together, and can be safely inserted inside one's pocket.",2004-02-10,6688505,Glove buddy
"The inventive glove comprises a thumb holder (11), an index finger holder (12), a palm portion (14) and a back portion (15). A protective member (2) is mounted on a base portion (13) between the thumb holder (11) and the index finger holder (12). The protective member (2) includes a bent portion (21) extending from the base portion (13) toward the palm portion (14) and bent along the base portion (13) and a flat portion (22) extending from the base portion (13) toward the back portion (15), and has a substantially L-shaped section.",2002-08-06,6427246,Glove for baseball
"A glove for baseball or softball according to the present invention includes back leather (1) having five finger portions (29), ball receiving leather (2) having five finger portions (29) to be sewed together or/and adhesively joined with back leather (1), and upper surface leather (3) sewed to back leather (1) to form a hand inserting portion. The length (L2) of ball receiving leather (2) in the direction in which the finger portion of ball receiving leather (2) extends is in the range from 95% to 100% of the length (L1) of back leather (1) in the direction in which the finger portion of back leather (1) extends.",2001-10-23,6305022,Glove for baseball or softball
"A glove for baseball or softball includes a thumb stall receiving a thumb, an index finger stall receiving an index finger, a middle finger stall receiving a middle finger, a ring finger stall receiving a ring finger, a little finger stall receiving a little finger, a back portion located on a back surface and covering the back of a hand, a web portion provided between the thumb stall and the index finger stall, and a hand inserting portion for inserting a hand into the glove. On the back surfaces of the index finger stall, the middle finger stall and the ring finger stall, thin leather portions are provided, which are curved toward the thumb stall on the back portion.",2004-07-13,6760919,Glove for baseball or softball
"A generally circular, thin, laminated, high color contrast, flexible target sheet member is affixed to a central pocket portion of a baseball glove by a peel-away pressure sensitive formed upon the backing of the target member. This simple and inexpensive single (one piece) targeting member can be mail-ordered or otherwise sold directly, particularly to millions of young &#8220;Little League&#8221; players in need of an aid in improving their throwing accuracy. No detrimental modifications of the gloves already in possession of the players is required. An advertising logo of a sponsor can be added, enabling its use as a give-away item. Alternatively, a team logo can be printed on the target.",2003-12-30,6669582,Glove mounted target device and method for aiding a player in accurately throwing a baseball
"A leather baseball glove that complies with the code of rules for baseball has a front face of two suede leather material portions, each having a nap with a smooth direction and a resistant direction, the smooth directions facing each other tending to facilitate movement of a ball into the glove pocket and tending to impede movement of a ball away from the pocket and/or out of the glove to enhance ball retaining characteristics of the glove. A method of making a glove includes attaching plural glove portions, at least one of which has a nap with a smooth and braking directions, and orienting such nap to provide preferred smooth and braking directions to enhance ball retention. Use of nap characteristics to enhance holding the shaft of an implement or other device. A method of retrofitting a device for enhanced retention characteristics.",2003-12-02,6654959,Glove with enhanced retention capabilities
"A baseball or softball glove includes a strap to provide a compressive force across the fingers of a hand inserted into the glove. The compressive force facilitates the snapping the glove to catch and secure a ball. Additionally, the ring finger and the pinky finger may be inserted into the same finger stall of the glove to compensate for the weakness of the ring finger in making the snapping motion. The glove is still given the appearance of providing a separate finger stall for each finger. A guide wall is placed across the entrance to the unused finger stall to maneuver the ring finger into the pinky stall.",2011-02-08,7882567,Glove with strapping system
"A glove-and-ball sports toy comprising a glove in the form of a baseball glove and having a pocket, fingers, a thumb, webbing, and wrist strap, a ball formed from a soft, light material and simulating a baseball, and a flexible, elastic cord connecting said ball with said glove, the pocket having a patch of burr material attached to it, and the ball being covered with pile material effective to adhere to the burr material when the ball and the patch come into contact.",1989-06-06,4836554,Glove-and-ball sports toy
"A combination glove for a golfer or baseball player which has a special water-resistant covering fitted over an inner glove for the purpose of maintaining the glove, and the player's non-gloved hand, dry when the player is playing in the rain.",1986-01-21,4564956,Golf glove with rain shield
"A weighted sport training assembly used to overload the muscles while making sport specific movements during sport training. The principle can be applied to several sports implements such as a golfclub, a tennis or squash racquet, hockey stick, baseball bat, and other similar sports devices. The Golf Swing Training Club is an assembly of golfclub pieces and weights combined to offer an individual training a golf swing, or performing exercises that are either technical in nature, or fitness related, the opportunity to change the shape, length, or weight of the club by adding an extension shaft and inserting a variety of weights into the assembly.",2001-02-13,6186904,Golf swing training club
"A golf swing aid apparatus includes a base forming a sound chamber, a cover pivoted to the base, and a noisemaker configured to actuate a clicker in the base when the cover is released. The present apparatus provides a click noise immediately prior to ball impact during a golfer's swing, thus providing feedback on synchronized timing of the swing. The feedback is real time, and is of a nature whereby a golfer can recognize its feedback without disrupting the golf swing itself. The apparatus can be anchored using golf ball tees, and an accessory used that helps alignment of the golfer's stance. Notably, the present apparatus can be used in a variety of sports with a swing where weight transfer is important, such as softball and baseball.",2012-02-07,8109839,Golf swing training device and method
"A golfer, tennis player or baseball player is able to maintain normal balance while swinging a counter weighted training device in a fashion normal to the sport in question. The appropriate grip is placed on a shaft having oppositely disposed weights on each end. The amount of weight on each end may be varied but one of the weights is always between the user's hands and body while swinging the training device thereby allowing the user to maintain normal balance throughout the swing of the training device.",1993-06-01,5215307,Golf swing training exercise method
"A golf tool system generally comprising a divot tool, a brush and a ball marker, the divot tool having a pair of spaced tines, a pocket formed in the body for holding the brush, a ball marker recess and a magnet cavity in the recess for holding and securing a magnet to releasably support a ball marker, the brush having a brush body with at least one thumb indent for enhancing the gripping of the brush body and bristles projecting from the lower end of the brush. Alternatively, the golf tool system comprises a divot tool and brush designed to hold the ball marker and mount to the bill of a baseball cap.",2013-06-04,8454457,Golf tool system
"A sports training device designed for attachment to the shaft of a swinging sports apparatus, such as a golf club, tennis racket, baseball bat, hockey stick, or any other sports apparatus that is intended to be swung while playing a sport. The training device generally includes a drag panel/chute/airfoil, two (2) distinct connection points to the sports apparatus, and a support rod is disposed between the connection points substantially parallel to the shaft of the sports apparatus and to the length of the drag panel. The connection points include coupling mechanisms (e.g., pipe clips, snap clamps, etc.) that allow for 360° rotation about the sports apparatus. In use, the drag panel provides additional air resistance during the swinging of the sports apparatus.",2017-05-30,9662524,Golf training apparatus
"A golfing and batting aid is provided which enables a user to maintain a proper head position while executing the swinging of a golf club or baseball bat. The golfing and batting aid comprises a mouthpiece, a rigid support bar which is configured to extend away from the mouthpiece and towards the rear of the user's head and an inflexible connecting member which connects the rigid support element to the belt loop or waistband of a user. In operation, the user bites down on the mouthpiece and adjusts the connecting member such that it is sufficiently taut to prevent the user from moving his head while executing a swing.",1998-05-05,5746663,Golfing and batting aid
"The killer applications of golfrisbee are comprised of the golfball, golh club, golfrisbee disc and golfrisbee basket, golfrisbee target, grenade, water golh gun club, etc. Swiveling the golh club, the flying object is thrown to fly into the golfrisbee basket. The golfrisbee basket has either the wind-bell-chain or the wind-chime reverted umbrella structure to protect the golfrisbee from damage. The flying object has golfball, golfrisbee disk, golfring, disk-ring, boomerang, polygon boomerang, multi-boomerang ring, multi-boomerang disk-ring, golfishing, golh hunting practice, grenade, gun golh club, water grenade, water gun golh club, etc. The golfrisbee further comprises a slotted skirt made of rubber material to make it safe for playing in the park and the backbone made of the shock-resistant plastic material. The core technologies are the swiveling club throwing technology, wind-bell-chain or wind-chime reverted-umbrella golfrisbee basket and the universal direction wing flying disk. The golh killer applications comprise the course golh, park golh, snow golh, night golh, golfishing, golh-gun, golh-grenade and the baseball type golh sport named as basedisc.",2010-09-14,7794341,Golfrisbee basket/sporting for re-bouncing lightweight golfring/disk
"The golh sport is comprised of the golh club, golfrisbee disc and golfrisbee basket. Swiveling the golh club, the flying object such as golfrisbee disk is thrown to fly into the golfrisbee basket. The golfrisbee basket has the wind-bell-chain reverted umbrella structure to protect the golfrisbee from damage. The flying object has many types such as the golfball, golfrisbee disk, golfring, diskring, boomerang, polygon boomerang, multi-boomerang ring, multi-boomerang diskring, etc. Golh is the hybrid golf comprising the flying golfrisbee and the golf ball. Basedisc is the golfrisbee sport following the similar game rules of baseball. The core technologies are the swiveling club throwing technology, wind-bell-chain reverted-umbrella golfrisbee basket and the universal direction wing flying disk technology. The golh system comprises the golh club, golfrisbee, golfrisbee basket, portable hole, golh lubricant, golh cart, golh trolley, golh bag, golh swing trainer, and the manufacture processes to be an integrated system package.",2006-09-05,7101293,Golh: the golf hybrid sport of golfrisbee
"The merchandising system includes an upright store fixture and at least one hanger arm coupled with the upright store fixture. The hanger arm has (i) a gravity slide portion extending forwardly and angularly downward from a location on the front side of the upright store fixture, (ii) a stop member disposed on the gravity slide portion near the lower end thereof, (iii) a front portion extending forwardly from the lower end of the gravity slide portion, and (iv) a support device at the forward end of the front portion. At least one product/clip combination is suspended from the hanger arm. The product/clip combination comprises a product (e.g., a baseball or softball glove or mitt) and a clip releasably engaging a predetermined portion of the product. The clip has a hook configured to releasably engage the hanger arm at any location rearward of the support device and to suspend the product/clip combination therefrom. The hook and the gravity slide portion of the hanger arm are configured to enable a product/clip combination suspended from the hanger arm to slide downward along the gravity slide portion under the influence of gravity when the hook engages the gravity slide portion. Each product/clip combination is removable from the hanger arm by moving the clip laterally relative to the hanger arm thereby to unhook the product/clip combination from the hanger arm.",1995-08-08,5439120,Gravity fed merchandising system
"A product merchandising system is provided which is particularly useful for supporting and displaying baseball and/or softball gloves and mitts. The merchandising system includes an upright store fixture and at least one hanger arm coupled with the upright store fixture. The hanger arm has (i) a gravity slide portion extending forwardly and angularly downward from a location on the front side of the upright store fixture, (ii) a stop member disposed on the gravity slide portion near the lower end thereof, (iii) a front portion extending forwardly from the lower end of the gravity slide portion, and (iv) a support device at the forward end of the front portion. At least one product/clip combination is suspended from the hanger arm. The product/clip combination comprises a product (e.g., a baseball or softball glove or mitt) and a clip releasably engaging a predetermined portion of the product. The clip has a hook configured to releasably engage the hanger arm at any location rearward of the support device and to suspend the product/clip combination therefrom. The hook and the gravity slide portion of the hanger arm are configured to enable a product/clip combination suspended from the hanger arm to slide downward along the gravity slide portion under the influence of gravity when the hook engages the gravity slide portion. Each product/clip combination is removable from the hanger arm by moving the clip laterally relative to the hanger arm thereby to unhook the product/clip combination from the hanger arm. The system enables products to be organized (e.g., by quality, type, price, etc. ) and for information about the products to be displayed to make it simple and efficient for a customer to make a selection of a product that meets the customer's particular needs.",1997-05-06,5626243,Gravity fed merchandising system
"The devices described herein assist the player of a sport involving a bat (e.g., baseball or softball) or club (e.g., golf) to correctly position his or her hands on the bat or club to enhance the power and accuracy of the player's swing.",2015-01-13,8932158,Grip device
"Grip pressure is monitored by a collection of battery powered components embodied in an assembly analogous to an ordinary wrist watch, that is a watch housing or casement and a stretchable band. The system, which we shall refer to as a swing monitor, is worn on the wrist and deployed in such a way that the back of the housing or casement is cinched securely to the back or underside of the wrist. A pressure plate on the back of the watch makes contact with the pulse region of the wrist. The flexing and relaxing of the muscles and tendons of the wearer is read by an electronic pressure sensing device, a piezo sensor. A tighter grip will register greater pressure and a looser grip, less pressure. The device records grip pressure associated with the swing of a golf club, tennis racquest or baseball bat, among other articles of sports equipment meant to be swung. The grip pressure determined to be optimal, that is giving the desired result, can be SAVED in the memory of the swing monitor system. Subsequent swings and their associated grip pressures are compared with the SAVED value of the optimal or best swing. An audible signal alerts the wearer if the grip pressure departs from that registered on the optimal or best swing.",2011-10-11,8033916,Grip pressure sensor
"A grip training device is used to teach a person the proper grip of a ball in usage. More specifically, the grip training device may take the form of a baseball having finger position indicia on it. The finger position indicia may be constituted in several different ways, including by depressions sized and arranged to receive the fingers. The arrangement of the indicia shows how to grip the baseball for throwing different pitches.",2010-07-13,7753811,Grip training device
"A mesh panel for throwable and/or grippable objects such as footballs, baseballs, basketballs, baseball bats, etc. The mesh panel is formed from polyvinylchloride (PVC) and includes a plurality of openings surrounded by a plurality of connecting portions. The outer surface of the mesh panel is such that each of the connecting portions includes a plurality of rib portions which further enhance the ability to grip the mesh panel. The inside surface of the mesh panel has an adhesive coating which bonds to an outer surface of the object to which the mesh panel is attached when heat is applied to the mesh panel. The heating of the mesh panel also causes a sticky, resin-like outer surface to be formed. The mesh panel enables various objects such as footballs, baseballs, basketballs, baseball bats, etc. to be much more easily grasped, thrown and caught by individuals of all ages and sizes, and particularly by individuals such as small adults and children having relatively small hands. The mesh panel is durable, does not add appreciable weight to the object to which it is attached or otherwise significantly affect the aerodynamics or trajectory of throwable objects to which the mesh panel is attached.",1999-11-16,5984812,Grippable surface for throwable object
"A mesh panel for throwable and/or grippable objects such as footballs, baseballs, basketballs, baseball bats, etc. The mesh panel is formed from polyvinylchloride (PVC) and includes a plurality of openings surrounded by a plurality of connecting portions. The outer surface of the mesh panel is such that each of the connecting portions includes a plurality of rib portions which further enhance the ability to grip the mesh panel. The inside surface of the mesh panel has an adhesive coating which bonds to an outer surface of the object to which the mesh panel is attached when heat is applied to the mesh panel. The heating of the mesh panel also causes a sticky, resin-like outer surface to be formed. The mesh panel enables various objects such as footballs, baseballs, basketballs, baseball bats, etc. to be much more easily grasped, thrown and caught by individuals of all ages and sizes, and particularly by individuals such as small adults and children having relatively small hands. The mesh panel is durable, does not add appreciable weight to the object to which it is attached or otherwise significantly affect the aerodynamics or trajectory of throwable objects to which the mesh panel is attached.",1998-12-22,5851161,Grippable surface for throwable objects
"This disclosure describes a gripping glove with a gripping aid to increase the grip span of a user. In some implementations, the gripping aid may be composed of a crush resistant, flexible material and further include a crest or fulcrum to increase the speed, strength and/or torque of each swing of a tool (e.g., a baseball bat, sledge hammer, or the like). In some implementations, the gripping aid may also provide a reduction in vibrations and superficial hand traumas normally caused when the tool strikes an object.",2017-01-24,9549579,Gripping glove
"A grooved size adjustment strap for a baseball-style cap having a crown body and a visor. The size adjustment strap, which is attached to the back portion of the lower periphery of the crown, is formed by an inner strap and an outer strap, each strap attached to a respective side of the crown main body along a lower edge thereof. Each of the straps is formed of a reinforcing material such as PVC sheet, with hook or loop material attached thereto, respectively. The outer strap is formed with the PVC sheet faced outwardly and includes a plurality of vertical grooves that facilitate shape formation and retention of the size adjustment device, and also assist in predictable size adjustment.",2004-12-14,6829785,Grooved adjustment strap for a cap
"A kit of a novel design of baseball game equipment, and which includes two hemispherical rubber balls, a stick-like bat and four brick-shaped, plastic base markers which are laid out spaced apart in a straight line for being run by a batter after having batted one of the half balls.",1980-01-01,4181302,Half ball game
"A hand accessory designed to harness power from strong areas of the hand and channel stress away from weaker areas by means of anchors pressing into tough fleshy areas with connecting structure capable of leveraging a handle away from sensitive bony areas, relocating fleshy areas into supporting and insulating positions, preventing bone bruises and widening the effective grip of the hand for greater control while augmenting the hand's range of motion especially in swinging a baseball bat.",2011-06-21,7963864,Hand accessory
A hand accessory contoured to fit primarily within the trailing hand of a pair of hands that are usable to swing a handle of an implement such as a baseball bat. Hand accessories extend between the web portion of the hand and the little finger of the hand. The hand accessory is contoured to be comfortable within the hand and to maximize speed and control of the swing to impart increased power with increased control of flight to a baseball which is struck with the baseball bat that is swung utilizing the hand accessory of this invention.,1994-06-21,5322286,Hand accessory for swinging an implement handle
A hand accessory contoured to fit primarily within the trailing hand of a pair of hands that are usable to swing a handle of an implement such as a baseball bat. The hand accessory extends between the web portion of the hand and the little finger of the hand. The hand accessory is contoured to be comfortable within the hand and to maximize speed and control of the swing to impart increased power with increased control of flight to a baseball which is struck with a baseball bat that is swung utilizing the hand accessory of this invention.,1996-12-31,5588651,Hand accessory for swinging an implement handle
"This invention relates generally to an exercise and strengthening device for fingers and hands and a method of exercising and strengthening same, along with certain muscles of the arm(s). More particularly, it relates to a device which applies a reactive force against the hand(s) and one or more of the fingers of a user when the device is held firmly in one or both of a user's hands. The user specifies the hand(s) and finger(s) upon which the device applies such force by either selecting an appropriately configured device or fixing a changeable device in a desired configuration. The device is preferably configured to resemble the grips of an instrumentality the user would hold while working (e.g., the grip of a hand tool) or while playing a sport (e.g., the grip of a golf club or baseball bat). The invention also relates to a method of exercising or rehabilitating fingers, individually or as a group, to strengthen the hand(s) and desired finger(s) thereof.",1998-05-19,5752896,Hand and finger exercise and strengthening device and method of exercising and strengthening same
"A flexible, semi-rigid hand accessory designed to harness power from relatively strong, tough areas of the hand and disperse stress away from weak, sensitive areas by means of anchors pressing into tough fleshy areas with connecting structure capable of bracing and leveraging a handle away from sensitive bony areas, relocating fleshy areas into supporting and insulating positions, preventing bone bruises, enhancing finger gripping and widening the effective grip of the hand for greater control while augmenting the hand's range of motion especially in swinging a baseball bat.",2014-10-07,8852033,Hand grip
None,2007-07-03,D545698,Hand held baseball game indicator
