patent_abstract,patent_date,patent_number,patent_title
"A method for determining the quality of an examined weld joint comprising the steps of providing acoustical data from the examined weld joint, and performing a neural network operation on the acoustical data determine the quality of the examined weld joint produced by a friction weld process. The neural network may be trained by the steps of providing acoustical data and observable data from at least one test weld joint, and training the neural network based on the acoustical data and observable data to form a trained neural network so that the trained neural network is capable of determining the quality of a examined weld joint based on acoustical data from the examined weld joint. In addition, an apparatus having a housing, acoustical sensors mounted therein, and means for mounting the housing on a friction weld device so that the acoustical sensors do not contact the weld joint. The apparatus may sample the acoustical data necessary for the neural network to determine the quality of a weld joint.",2005-02-22,6857553,Method and apparatus for in-process sensing of manufacturing quality
"A neural network system for identifying forecasting, and controlling a non-linear flow on a physical system network, in which each branch between nodes in the physical system network is divided by a plurality of division points; a flow at each of the division points and a terminal point of each branch is calculated according to neural network model parameters specifying connections among the division points and the terminal point in a neural network model; an actual flow is measured at the terminal point of said each branch; an error of the calculated flow at the terminal point with respect to the measured actual flow at the terminal point is calculated; the neural network model parameters are adjusted to minimize the calculated error; and system dynamics parameters specifying dynamics of the physical system are determined according to the adjusted neural network model parameters. In addition, a target function to be optimized is calculated in terms of flows at terminal points of branches as a function of a control parameter specifying connecting and disconnecting of connections among branches at each node; and connections among branches at each node are connected/disconnected to optimize the calculated target function.",1995-04-04,5404423,"Method and apparatus for indetification, forecast, and control of a non-linear flow on a physical system network using a neural network"
The present invention is a classification method and apparatus for classifying an input into one of a plurality of possible outputs. The invention is also a method and apparatus for adjusting a neuron encompassing a plurality of feature vectors. The invention characterizes the spatial distribution of the feature vectors. The invention then spatially adjusts the neuron in accordance with that characterization.,1999-10-26,5974404,Method and apparatus for input classification using a neural network
"A solder joint inspection process and system includes using a correlation values to classify the shape of the solder joint. The solder joint is illuminated by a multiple colors, and the image of the solder joint is captured. This multiple color image is then converted into a plurality of one-dimensional vectors. Each one-dimensional vectors sequence is for one color of the multi-color illumination and for a one-dimensional spatial extent. Correlation values among all combinations of the one-dimensional vector sequences are computed and used for training an automatic solder joint shape classifier.",2000-02-08,6023663,Method and apparatus for inspecting a solder joint using a correlation neural network
"An apparatus and method for selecting products to inspect for defects performs in-situ monitoring of a processing tool during a manufacturing processing step. The data from the in-situ monitoring for a test run of products is correlated by a neural network with data collected during inspection of the test products for defects. During a production run of products, the in-situ monitor data is provided to the neural network which, based on the input data and the correlation, predicts the values of the data that would be collected upon inspection of the products. Specific products from the production run are selected for inspection based upon the predicted values.",1999-04-20,5896294,Method and apparatus for inspecting manufactured products for defects in response to in-situ monitoring
"A method and apparatus for inspecting solder joints are provided. A method for inspecting test solder joints includes the steps of illuminating the test solder joints on a printed circuit board to obtain sample images of the test solder joints by grabbing reflected light with a charge coupled device (CCD) camera, classifying the sample images by an inspector into a number of classes according to the soldering quality, inputting a specific sample image belonging to each class to a neural network to divide the class into a predetermined number of clusters; determining a synaptic weight of each class by learning each cluster, determining a confirmed synaptic weight by adjusting the synaptic weight according to a boundary condition between the clusters belonging to neighboring different classes, and selecting a similar cluster by comparing the similarities between the outputs of the neural network with respect to the test solder joints based on confirmed synaptic weights, and each output of the inspector's class. The method and apparatus for inspecting solder joints can guarantee satisfactory classification accuracy with the minimum number of prototype images.",2000-08-29,6111602,Method and apparatus for inspecting solder joints
"An automated speech recognition system converts a speech signal into a compact, coded representation that correlates to a speech phoneme set. A number of different neural network pattern matching schemes may be used to perform the necessary speech coding. An integrated user interface guides a user unfamiliar with the details of speech recognition or neural networks to quickly develop and test a neural network for phoneme recognition. To train the neural network, digitized voice data containing known phonemes that the user wants the neural network to ultimately recognize are processed by the integrated user interface. The digitized speech is segmented into phonemes with each segment being labelled with a corresponding phoneme code. Based on a user selected transformation method and transformation parameters, each segment is transformed into a series of multiple dimension vectors representative of the speech characteristics of that segment. These vectors are iteratively presented to a neural network to train/adapt that neural network to consistently distinguish and recognize these vectors and assign an appropriate phoneme code to each vector. Simultaneous display of the digitized speech, segments, vector sets, and a representation of the trained neural network assist the user in visually confirming the acceptability of the phoneme training set. A user may also selectively audibly confirm the acceptability of the digitization scheme, the segments, and the transform vectors so that satisfactory training data are presented to the neural network. If the user finds a particular step or parameter produces an unacceptable result, the user may modify one or more of the parameters and verify whether the modification effected an improvement in performance. The trained neural network is also automatically tested by presenting a test speech signal to the integrated user interface and observing both audibly and visually automatic segmentation of the speech, transformation into multidimensional vectors, and the resulting neural network assigned phoneme codes. A method of decoding such phoneme codes using the neural network is also disclosed.",1998-09-15,5809462,Method and apparatus for interfacing and training a neural network for phoneme recognition
"A computer product for analyzing data representative of account usage, the computer product disposed on a computer readable medium and including instructions for causing a processor to provide a data classifier the data representative of account usage, wherein the data classifier produces in response to the data representative of account usage, classification outputs, provide to a rule inducer input data based on the data representative of account usage and the classification outputs, wherein the rule inducer produces rules descriptive of relationships between the data representative of account usage and the classification outputs. The data classifier can include a neural network and a Bayesian classifier. The input data based on the data representative of account usage can include a combination of the data representative of account usage and the classification outputs.",2003-11-11,6647379,Method and apparatus for interpreting information
""" A method and apparatus for speeding and enhancing the """"learning"""" function of a computer configured as a multilayered, feed format artificial neural network using logistic functions as an activation function. The enhanced learning method provides a linear probing method for determining local minima values computed first along the gradient of the weight space and then adjusting the slope and direction of a linear probe line after determining the likelihood that a """"ravine"""" has been encountered in the terrain of the weight space. """,1993-07-06,5226092,Method and apparatus for learning in a neural network
"A method and apparatus for determining tag location is disclosed. Tag reference data may be stored, e.g., in the form of a lookup table, as a trained neural network, and so on, and used to determine the location of tags. Readings used to determine tag location and/or preliminary tag locations may be filtered to produce reliable tag location indications. Packages of user configurable parameters can be provided and used for the filtering of the preliminary tag locations. Confidence levels may also be generated for determined tag locations and used, for example, to indicate how well an asset location system can distinguish between different tag locations.",2002-09-24,6456239,Method and apparatus for locating mobile tags
"A method and apparatus for classification and tracking objects in three-dimensional space is described. A machine vision system acquires images from roadway scenes and processes the images by analyzing the intensities of edge elements within the image. The system then applies fuzzy set theory to the location and angles of each pixel after the pixel intensities have been characterized by vectors. A neural network interprets the data created by the fuzzy set operators and classifies objects within the roadway scene. The system can also track objects within the roadway scene, such as vehicle, by forecasting potential track regions and then calculating match scores for each potential track region based on how well the edge elements from the target track regions match those from the source region as weighted by the extent the edge elements have moved.",1995-07-18,5434927,Method and apparatus for machine vision classification and tracking
"A method and apparatus for classification and tracking objects in three-dimensional space is described. A machine vision system acquires images from roadway scenes and processes the images by analyzing the intensities of edge elements within the image. The system then applies fuzzy set theory to the location and angles of each pixel after the pixel intensities have been characterized by vectors. A neural network interprets the data created by the fuzzy set operators and classifies objects within the roadway scene. The system can also track objects within the roadway scene, such as vehicles, by forecasting potential track regions and then calculating match scores for each potential track region based on how well the edge elements from the target track regions match those from the source region as weighted by the extent the edge elements have moved.",1998-06-02,5761326,Method and apparatus for machine vision classification and tracking
"The present invention relates to a method and an apparatus for measuring exercise condition, especially a method for measuring an exertion endurance indicator representing exercise condition of a subject to be measured, such as maximal oxygen uptake or any such exertion endurance indicator representing exercise condition. The method is characterized in that, in the method a predetermined calculation formula is used preferably by means of a neural network, to which formula physiological parameters representing the subject to be measured are supplied. The input parameters comprise at least one or more of the following physiological parameters, such as sex, age, height, weight. One or more output parameters representing the exertion endurance indicator representing the exercise condition of the subject to be measured are obtained as a result from the calculation formula. In addition to the physiological parameters, one or more resting heartbeat parameters measured specifically from resting heartbeat are used as input parameters of the calculation formula. In the preferred embodiment of the invention, the calculation formula is formed by means of a neural network construction.",2001-08-21,6277080,Method and apparatus for measuring exertion endurance
"A method and apparatus for model-free, real-time, system-wide signal timing for a complex road network is provided. It provides timings in response to instantaneous flow conditions while accounting for the inherent stochastic variations in traffic flow through the use of a simultaneous perturbation stochastic approximation (SPSA) algorithm. This is achieved by setting up several (M) parallel neural networks, each of which produces optimal controls (signal timings) for any time instant (within one of the M time periods) based on observed traffic conditions. The SPSA optimization technique is critical to the feasibility of the approach since it provides the values of weight parameters in each of the neural networks without the need for a model of the traffic flow dynamics.",1997-09-16,5668717,Method and apparatus for model-free optimal signal timing for system-wide traffic control
A system for determining the alertness of a driver of a vehicle by monitoring the driver's seated posture. A pressure sensor array disposed in or on the seat produces output signals that indicate the pattern of pressure exerted by the driver's body at a plurality of points distributed over the seat surface. A microprocessor-based alertness evaluation module receives pressure pattern data from the sensor array and uses neural network processing techniques to determine a probable driver alertness level based upon changes in the pattern of pressure. The sensor array may also be used to supply data to an occupant restraint system control module. Using the sensor for two purposes avoids the additional cost of providing a dedicated alertness sensor is avoided.,2002-05-21,6392550,Method and apparatus for monitoring driver alertness
"A system that collects data from monitored network traffic. The system inputs, in parallel, the data through inputs of a neural network. The system compares an output of the neural network, generated in response to the inputted data, to at least one predetermined output. If the output of the neural network corresponds to the at least one predetermined output, the system provides a notification relating to the data.",2016-08-02,9406016,Method and apparatus for monitoring network traffic
"A method and apparatus for monitoring the condition of a fetus to assess a degree of risk of developing a permanent neurological condition is provided. A signal indicative of a fetal heart is processed to derive a degree of risk of developing a permanent neurological condition. The data indicative of the degree of risk of developing a permanent neurological condition indicates a likelihood that the condition of the fetus belongs to a class in a group of classes, where each class in the group of classes is associated with a pre-defined fetal condition. Data indicative of the degree of risk of developing a permanent neurological condition is then released. In one example, a neural network is used to obtain data indicating the likelihood that the condition of the fetus belongs to a class in the group of classes.",2006-09-26,7113819,Method and apparatus for monitoring the condition of a fetus
"In a method and apparatus for analyzing multivariable data sets, a general computerized platform is provided for evaluating the relationship between large number of measurements of sets of variables characterizing components of complex states of a system under induced stimulation or controlled conditions. The linked responses of variables and their temporal relations tell about the network of interactions and their hierarchy. Processing of data sets by a simple neural network gives a matrix of weight parameters, that allow to identify fingerprints of complex states characterized by patterns of measured variable and estimate the interactions between the components characterized by the measured variables. The results are provided numerically and by color-coded presentation indicating dominating relations between variables and strongly responding variables. When applied to dynamic responses of a system, the analysis can construct a schematic hierarchical architecture of the network of interaction between the components of the studied system. Applications in biology include analysis of measurements characterizing responses of molecular components in cells under changes induced by stimuli (e.g. drugs, growth factors, hormones, mutations or forced expression of a proteins), and identification of complex cellular states (e.g. proliferation, differentiation, transformation, starvation, necrosis, apoptosis, and the time dependencies of the above effects).",2007-05-29,7225172,Method and apparatus for multivariable analysis of biological measurements
"In a method and apparatus for analyzing multivariable data sets, a general computerized platform is provided for evaluating the relationship between large number of measurements of sets of variables characterizing components of complex states of a system under induced stimulation or controlled conditions. The linked responses of variables and their temporal relations tell about the network of interactions and their hierarchy. Processing of data sets by a simple neural network gives a matrix of weight parameters, that allow to identify fingerprints of complex states characterized by patterns of measured variable and estimate the interactions between the components characterized by the measured variables. The results are provided numerically and by color-coded presentation indicating dominating relations between variables and strongly responding variables. When applied to dynamic responses of a system, the analysis can construct a schematic hierarchical architecture of the network of interaction between the components of the studied system. Applications in biology include analysis of measurements characterizing responses of molecular components in cells under changes induced by stimuli (e.g. drugs, growth factors, hormones, mutations or forced expression of a proteins), and identification of complex cellular states (e.g. proliferation, differentiation, transformation, starvation, necrosis, apoptosis, and the time dependencies of the above effects).",2008-07-15,7401056,Method and apparatus for multivariable analysis of biological measurements
"A semantic attractor memory uses an evolving neural network architecture and learning rules derived from the study of human language acquisition and change to store, process and retrieve information. The architecture is based on multiple layer channels, with random connections from one layer to the next. One or more layers are devoted to processing input information. At least one processing layer is provided. One or more layers are devoted to processing outputs and feedback is provided from the outputs back to the processing layer or layers. Inputs from parallel channels are also provided to the one or more processing layers. With the exception of the feedback loop and central processing layers, the network is feedforward unless it is employed in a hybrid back-propagation configuration. The learning rules are based on non-stationary statistical processes, such as the Polya process or the processes leading to Bose-Einstein statistics, again derived from considerations of human language acquisition. The invention provides rapid, unsupervised processing of complex data sets, such as imagery or continuous human speech, and a means to capture successful processing or pattern classification constellations for implementation in other networks.",1999-12-28,6009418,Method and apparatus for neural networking using semantic attractor architecture
"A semantic attractor memory uses an evolving neural network architecture and learning rules derived from the study of human language acquisition and change to store, process and retrieve information. The architecture is based on multiple layer channels, with random connections from one layer to the next. One or more layers are devoted to processing input information. At least one processing layer is provided. One or more layers are devoted to processing outputs and feedback is provided from the outputs back to the processing layer or layers. Inputs from parallel channels are also provided to the one or more processing layers. With the exception of the feedback loop and central processing layers, the network is feedforward unless it is employed in a hybrid back-propagation configuration. The learning rules are based on non-stationary statistical processes, such as the Polya process or the processes leading to Bose-Einstein statistics, again derived from considerations of human language acquisition. The invention provides rapid, unsupervised processing of complex data sets, such as imagery or continuous human speech, and a means to capture successful processing or pattern classification constellations for implementation in other networks.",2002-12-03,6490571,Method and apparatus for neural networking using semantic attractor architecture
"A method of estimating formation porosity using a neural network for neutron porosity tools. In the training stage, the near-to-far ratio, environmental variables, such as mineralogy, borehole size, standoff etc., are fed to the inputs and the neural network is trained for obtaining the related true porosity (the output). The trained neural network is implanted into tool's firmware for the real time porosity measurement, accounting for the environmental effects considered during training.",2014-09-30,8849573,Method and apparatus for neutron porosity measurement using a neural network
"Apparatus and method for non-invasive diagnosis of cardiovascular and related disorders. The system establishes a correspondence between the dynamics of the wave contour of the arterial pressure pulse and the associated disease states. The system comprises an input module, a contour signal receiver, and a processing module. The input module utilizes a pressure transducer for taking a non-invasive measurement of the arterial pulse. The contour signal receiver amplifies, digitizes and normalizes the arterial pressure pulse signal. In the processing module, the normalized arterial pressure contour is subjected to wavelet analysis, which transforms the dynamics of the time series of arterial blood pressure contour into multi-resolution wavelet coefficients or signatures. The processing module includes a neural network which is trained to associate the diagnostic features of the transformed arterial pressure contour embedded in the coefficients with a disease condition. After the learning phase, the system is capable of diagnosing known cardiovascular conditions in patients.",2000-10-24,6135966,Method and apparatus for non-invasive diagnosis of cardiovascular and related disorders
"A method and apparatus for noninvasively determining hematocrit utilizing the frequency-dependent electrical impedance characteristics of whole blood by electrically stimulating a patient body portion containing a vascular compartment with a current source over a range of frequencies. A hematocrit measurement system includes a signal generator and demodulator (SGD) that sends an applied signal to an electrode pod that applies a current to a limb of a patient. The electrode pod receives resulting measured voltage signals and provides them to the SGD. The SGD provides to a personal computer (PC) signals indicative of the current passing through the limb of a patient and the resulting voltage. The voltage and current may be measured for various frequencies over, for example, a range from about 10 kHz to about 10 MHz. The electrical impedance from the blood alone is isolated from the total limb impedance from the blood, tissue, bone, etc. by determining the difference between measurements at different blood volumes. The hematocrit is determined by the PC based on inphase and quadrature data provided by the SGD. A neural network may be useful in determining the hematocrit from the blood impedance patterns.",1997-07-01,5642734,Method and apparatus for noninvasively determining hematocrit
"A hybrid neural network system for object recognition exhibiting local image sampling, a self-organizing map neural network, and a hybrid convolutional neural network. The self-organizing map provides a quantization of the image samples into a topological space where inputs that are nearby in the original space are also nearby in the output space, thereby providing dimensionality reduction and invariance to minor changes in the image sample, and the hybrid convolutional neural network provides for partial invariance to translation, rotation, scale, and deformation. The hybrid convolutional network extracts successively larger features in a hierarchical set of layers. Alternative embodiments using the Karhunen-Loeve transform in place of the self-organizing map, and a multi-layer perceptron in place of the convolutional network are described.",2000-03-14,6038337,Method and apparatus for object recognition
"An artificial neural network is trained to recognize inputted thermal and physical features of a printed circuit board, for providing settings for a reflow oven for obtaining acceptable soldering of the printed circuit board.",1995-08-08,5439160,Method and apparatus for obtaining reflow oven settings for soldering a PCB
"A neural network system is provided that models the system in a system model (12) with the output thereof providing a predicted output. This predicted output is modified or controlled by an output control (14). Input data is processed in a data preprocess step (10) to reconcile the data for input to the system model (12). Additionally, the error resulted from the reconciliation is input to an uncertainty model to predict the uncertainty in the predicted output. This is input to a decision processor (20) which is utilized to control the output control (14). The output control (14) is controlled to either vary the predicted output or to inhibit the predicted output whenever the output of the uncertainty model (18) exceeds a predetermined decision threshold, input by a decision threshold block (22). Additionally, a validity model (16) is also provided which represents the reliability or validity of the output as a function of the number of data points in a given data region during training of the system model (12). This predicts the confidence in the predicted output which is also input to the decision processor (20). The decision processor (20) therefore bases its decision on the predicted confidence and the predicted uncertainty. Additionally, the uncertainty output by the data preprocess block (10) can be utilized to train the system model (12).",2003-07-08,6591254,Method and apparatus for operating a neural network with missing and/or incomplete data
"A neural network system is provided that models the system in a system model (12) with the output thereof providing a predicted output. This predicted output is modified or controlled by an output control (14). Input data is processed in a data preprocess step (10) to reconcile the data for input to the system model (12). Additionally, the error resulted from the reconciliation is input to an uncertainty model to predict the uncertainty in the predicted output. This is input to a decision processor (20) which is utilized to control the output control (14). The output control (14) is controlled to either vary the predicted output or to inhibit the predicted output whenever the output of the uncertainty model (18) exceeds a predetermined decision threshold, input by a decision threshold block (22). Additionally, a validity model (16) is also provided which represents the reliability or validity of the output as a function of the number of data points in a given data region during training of the system model (12). This predicts the confidence in the predicted output which is also input to the decision processor (20). The decision processor (20) therefore bases its decision on the predicted confidence and the predicted uncertainty. Additionally, the uncertainty output by the data preprocess block (10) can be utilized to train the system model (12).",2005-10-18,6957203,Method and apparatus for operating a neural network with missing and/or incomplete data
"A neural network system is provided that models the system in a system model (12) with the output thereof providing a predicted output. This predicted output is modified or controlled by an output control (14). Input data is processed in a data preprocess step (10) to reconcile the data for input to the system model (12). Additionally, the error resulted from the reconciliation is input to an uncertainty model to predict the uncertainty in the predicted output. This is input to a decision processor (20) which is utilized to control the output control (14). The output control (14) is controlled to either vary the predicted output or to inhibit the predicted output whenever the output of the uncertainty model (18) exceeds a predetermined decision threshold, input by a decision threshold block (22). Additionally, a validity model (16) is also provided which represents the reliability or validity of the output as a function of the number of data points in a given data region during training of the system model (12). This predicts the confidence in the predicted output which is also input to the decision processor (20). The decision processor (20) therefore bases its decision on the predicted confidence and the predicted uncertainty. Additionally, the uncertainty output by the data preprocess block (10) can be utilized to train the system model (12).",1997-03-18,5613041,Method and apparatus for operating neural network with missing and/or incomplete data
"A system for optimizing the promotional sale of a product, a product segment, or a category which may take into account related products or competing products comprising means for generating a three-dimensional data structure corresponding to the sales history for a product, the data structure dimensions corresponding to an event type domain, a time domain, and a unit of measurement domain, means for populating the three-dimensional data structure, a neural network, means for training the neural network and means for applying sales objectives and constraints to the neural network.",2000-02-22,6029139,Method and apparatus for optimizing promotional sale of products based upon historical data
"A parameter estimation device for estimating parameters relating to input and output of a control object by using a neural network, including control domain division means for selecting at least one parameter having strong correlation with non-linearity amongst input-output characteristics of the control object, as a parameter of a premise part of fuzzy operation, and dividing a control domain of the control object into a plurality of small domains by fuzzy estimation based on the parameter of the premise part; and estimation means for estimating dynamic behavior of the control object by using, as a consequent part of the fuzzy operation, a neural network which receives a parameter indicating the operation state of each of the small domain into which the control domain is divided, so that the output from the neural network can be checked in advance.",2004-01-13,6678640,"Method and apparatus for parameter estimation, parameter estimation control and learning control"
"A method for pattern classification and, in particular, a method which distributes the classification criteria across a neural network. The classification criteria for a pattern class is stored distributively in the neural network in two aspects. First, it manifests itself as one or more levels of templates, each of which represents a fuzzily unique perspective of the pattern class. Second, the template at each level is represented by a set of fuzzy windows, each of which defines a classification criterion of a corresponding feature of the pattern class.",1995-02-14,5390261,Method and apparatus for pattern classification using distributed adaptive fuzzy windows
"A method for pattern classification and, in particular, a method which distributes the classification criteria across a neural network. The classification criteria for a pattern class is stored distributively in the neural network in two aspects. First, it manifests itself as one or more levels of templates, each of which represents a fuzzily unique perspective of the pattern class. Second, the template at each level is represented by a set of fuzzy windows, each of which defines a classification criterion of a corresponding feature of the pattern class.",1997-09-02,5664068,Method and apparatus for pattern classification using distributed adaptive fuzzy windows
"An automated system and procedure processes wafer test bin data of semiconductor wafers to formulate a fault pattern at statistically significant levels. A processor such as a neural engine or neural network collects wafer test bin results to generate a N/N wafer map to be correlated with wafer maps produced from a wafer electrical test, a wafer level reliability test, and an in-line defect analysis. A N/N wafer map generated by the processor is cross-checked with a wafer map generated from another semiconductor tester to formulate possible overlap fault patterns. The confirmed fault patterns are further analyzed by performing failure analysis to find the root cause of fault patterns. A report containing fault patterns and the root cause for fault patterns is sent back to a fab for making adjustment to the fabrication process to increase the overall yield of the future batch of semiconductor wafers. The report is also stored in a pattern database to serve as a library for future reference of previously recognized fault patterns, thereby to bypass the need to perform a failure analysis for matching fault patterns.",1998-07-28,5787190,Method and apparatus for pattern recognition of wafer test bins
"A machine-learning model may be created to perform integrated circuit layout extraction. Using such a machine-learning system has two main phases: model creation and model application. The model creation phase comprises creating one or more extraction models using machine-learning techniques. The machine learning is performed by first creating training data sets composed of the identified parameters from typical examples of the smaller extraction problem and the answers to those example extraction problems as solved using a highly accurate physics-based field solver. Next, the system performs machine learning using Bayesian inference in order to train the neural network models. The Bayesian inference may be implemented with normal Monte Carlo techniques, Hybrid Monte Carlo techniques, or other Bayesian learning techniques. After the creation of a set of models for each of the smaller simpler extraction problems, the machine-learning based models may be used for extraction.",2004-05-11,6735748,Method and apparatus for performing extraction using a model trained with bayesian inference
"A system for using machine-learning to create a model for performing integrated circuit layout extraction is disclosed. The system of the present invention has two main phases: model creation and model application. The model creation phase comprises creating one or more extraction models using machine-learning techniques. First, a complex extraction problem is decomposed into smaller simpler extraction problems. Then, each smaller extraction problem is then analyzed to identify a set of physical parameters that fully define the smaller extraction problem. Next, models are created using machine learning techniques for all of the smaller simpler extraction problems. The machine learning is performed by first creating training data sets composed of the identified parameters from typical examples of the smaller extraction problem and the answers to those example extraction problems as solved using a highly accurate physics-based field solver. Next, the system trains a set of neural networks using the training sets. In one embodiment, Bayesian inference is used to train the neural networks that are used to model the extraction. After the creation the neural network based models for each of the smaller simpler extraction problems, the neural network based models may be used for extraction.",2005-06-14,6907591,Method and apparatus for performing extraction using a neural network
"A system for using machine-learning to create a model for performing integrated circuit layout extraction is disclosed. The system of the present invention has two main phases: model creation and model application. The model creation phase comprises creating one or more extraction models using machine-learning techniques. First, a complex extraction problem is decomposed into smaller simpler extraction problems. Then, each smaller extraction problem is then analyzed to identify a set of physical parameters that fully define the smaller extraction problem. Next, models are created using machine learning techniques for all of the smaller simpler extraction problems. The machine learning is performed by first creating training data sets composed of the identified parameters from typical examples of the smaller extraction problem and the answers to those example extraction problems as solved using a highly accurate physics-based field solver. The training sets are then used to train the models. In one embodiment, neural networks are used to model the extraction problems. Bayesian inference is employed by one embodiment in order to train the neural network models. Bayesian inference may be implemented with normal Monte Carlo techniques or Hybrid Monte Carlo techniques. After the creation of a set of models for each of the smaller simpler extraction problems, the machine-learning based models may be used for extraction.",2005-02-15,6857112,Method and apparatus for performing extraction using machine learning
"An apparatus for carrying out learning operation of a neural network which has an input layer, an intermediate layer and an output layer. Plural nodes of the input layer are related to plural nodes of the intermediate layer with plural connection weights, while the plural nodes of the intermediate layer are also related to plural nodes of the output layer with plural connection weights. Although input data composed of plural components and teaching data composed of plural components are used in learning operation, some of the components are ineffective for the purpose of learning operation. During error calculation between output data from the neural network and the teaching data, the apparatus judges whether each of the components of the teaching data is effective or ineffective, and output errors corresponding to the ineffective components are regarded as zero. The connection weights are thereafter corrected based upon the calculated errors. The apparatus further comprises means for adding new input data and teaching data into a data base, and means for calculating a degree of heterogeneousness of the new teaching data. The new input data and teaching data are added to the data base only when the degree of heterogeneousness is smaller than a predetermined value.",1994-10-11,5355434,Method and apparatus for performing learning in a neural network
"A brake system control method determines vehicle operating conditions, compares the conditions to an allowable range, and uses a neural network to predict an expected coefficient of friction when the conditions are within the range. When the conditions fall outside of the range, the method determines an amount of required braking force using a constant coefficient of friction, and calculates the required braking force using the expected coefficient of friction when the conditions are within the range. The vehicle operating conditions include a vehicle speed, brake pressure, modeled brake rotor temperature, and apply state. The expected coefficient is multiplied by a constant or a calculated correction factor. A vehicle has an engine, transmission, and braking system, with a controller and an algorithm for predicting a coefficient of friction for two brake rotors, calculating a hydraulic brake pressure, and for applying the braking system using the hydraulic brake pressure.",2011-06-07,7957875,Method and apparatus for predicting braking system friction
"Methods and apparatus for identifying in real time an operating condition of an in-service electrical device which draws a power load by monitoring spectral content of the power signature and associating spectral components with device operating conditions. In the preferred embodiment, motor (12) power line current signature is sampled by data conditioning sampler (18). Preprocessor (30) spectrally separates the current signature into plural frequency domain components having respective frequency and magnitude values. Spectral characteristic component selector filter (40) selects for analysis at least one specific spectral component by referencing a base of stored knowledge of operational characteristics of the motor. A neural network (50) associates without supervision the selected detected spectral component with an operating condition of the motor (12). The base of stored knowledge is updated with new operating condition associations which have been made during real-time monitoring. A post processor (60) may enunciate the association to a user via an output device and it may generate a control signal to operate electrical distribution system protection or control apparatus.",1997-05-13,5629870,Method and apparatus for predicting electric induction machine failure during operation
"Errors or failures in a transmission system (10) can be accurately predicted by a system (18) which processes error or failure data collected by the transmission system during uniform intervals to yield data indicative of the errors or failures during each of a plurality of non-uniform, overlapping intervals. The errors or failures measured during the non-uniform intervals are selectively weighted and summed within a neural network (22), trained with historical error or failure data, to yield a set of predictions, each representing the predicted number of errors or failures during each non-uniform interval. The predictions from the neural network (22) are then thresholded by a control unit (24) and used to raise an alarm which signals the possibility of error or failure in the transmission system.",1998-12-08,5848073,Method and apparatus for predicting transmission system errors and failures
The present invention provides a drilling system that utilizes a neural network for predictive control of drilling operations. A downhole processor controls the operation of the various devices in a bottom hole assembly to effect changes to drilling parameters and drilling direction to autonomously optimize the drilling effectiveness. The neural network iteratively updates a prediction model of the drilling operations and provides recommendations for drilling corrections to a drilling operator.,2004-05-04,6732052,Method and apparatus for prediction control in drilling dynamics using neural networks
"A preprocessing system for preprocessing input data to a neural network includes a training system for training a model (20) on data from a data file (10). The data is first preprocessed in a preprocessor (12) to fill in bad or missing data and merge all the time values on a common time scale. The preprocess operation utilizes preprocessing algorithms and time merging algorithms which are stored in a storage area (14). The output of the preprocessor (12) is then delayed in a delay block (16) in accordance with delay settings in storage area (18). These delayed outputs are then utilized to train the model (20), the model parameter is then stored in a storage area (22) during run time, a distributed control system (24) outputs the data to a preprocess block (34) and then preprocesses data in accordance with the algorithms in storage area (14). These outputs are then delayed in accordance with a delay block (36) with the delay settings (18). The output of the delay block (36) comprises inputs to a run time system model (26) which is built to provide a representation of the system in accordance with the model parameters in the storage area (22). A predicted control output or predicted control inputs are then generated. The control input is input back to the DCS (24).",1998-03-17,5729661,Method and apparatus for preprocessing input data to a neural network
